des_produto;des_detalhes;des_medida;des_ingredientes;des_fabricante;des_marca
Fusilli Quinoa Tivva Sem Gúten 500g;A quinoa é um grão super nutritivo, que torna a nossa massa ainda mais saudável, por isso ninguém da família fica de fora quando receitas com o macarrão estão no cardápio. é delicioso e muito simples de preparar: fica pronto em 6 a 9 minutinhos. É delicioso e muito simples de preparar: fica pronto em 6 a 9 minutinhos! agora é só chamar a família que o almoço está servido e a alegria garantida. Tivva, massa sem glúten de milho, fusilli de quinoa, fusilli sem glúten;‎500 Grama;‎AMENDOIM, AVELÃ, CASTANHA DO PARÁ E CASTANHA DE CAJU;Monama;Tivva
Lamen Suave Vit Sabor Tomate Nissin 85gr;Pronto em 3 minutos. Contém tempero de 5g. Tipo lámen;‎85 Grama;Glutamato monossódico, inosinato dissódico e guanilato dissodico,aromatizantes antiumectante dioxido de silicio ,corantes caramelo III sintético;Nissin;Nissin
Macarrão Knorr Parafuso Sêmola com Ovos 500g;;O macarrão Knorr fusilli de sêmola com ovos é feito com trigo 100% tipo 1. Alimentos para vocês. Ideal para quem gosta de macarrão com consistência mais firme. Preparo prático: seu macarrão pronto em 5-7 minutos após fervura. O macarrão fusilli combina com molhos espessos e cremosos, como ragu, bolonhesa e quatro queijos
O macarrão Knorr possui embalagem 100% reciclável;;‎500 Grama;CONTEM GLÚTEN;‎Unilever;Knorr
Knorr Macarrão Espaguete Semola com Ovos 500g;O macarrão Knorr spaghetti de sêmola com ovos é feito com trigo 100% tipo 1. Alimentos para vocês. Ideal para quem gosta de macarrão com consistência mais firme. Preparo prático: seu macarrão pronto em 7-9 minutos após fervura. O macarrão espaguete combina com molho simples e leves, como pesto, alho e óleo e carbonara. O macarrão Knorr possui embalagem 100% reciclável;‎500 Grama;CONTEM GLÚTEN;‎Unilever;Knorr
Macarrão Grano Duro Casarecce Barilla 500g;Produto importado da itália. Trigo 100% grano duro. Massa curta, sempre al dente. Massa com baixo índice glicêmico. Feita apenas com água e trigo. Instruções de armazenamento: conservar em local seco e fresco;500 Grama;‎SÊMOLA DE TRIGO DURO, água;‎Barilla;‎Barilla
Biscoito, Delice, Cacau e Avelã, Nesfit, 140g;Combinação de cacau & avelã. Textura artesanal com pedacinhos de avelã. O produto contém glúten;140 Grama;‎Cereais integrais (33%) (farinha de trigo integral, aveia em flocos, farinha de centeio integral e farinha de cevada integral), açúcar, farinha de trigo enriquecida com ferro e ácido fólico, óleo vegetal, gordura vegetal, cacau, avelã (1,3%), flocos de arroz e milho, amido, sal, soro de leite, corante caramelo IV, aromatizantes, fermentos químicos (bicarbonato de amônio, bicarbonato de sódio e fosfato monocálcico), emulsificante (lecitina de soja) e antioxidante (TBHQ). ALÉRGICOS: CONTÉM AVEIA, AVELÃ E DERIVADOS DE TRIGO, SOJA, LEITE, CENTEIO E CEVADA. PODE CONTER AMENDOIM, AMÊNDOA, NOZES, CASTANHA-DO-PARÁ E CASTANHA-DE-CAJU. CONTÉM LACTOSE. CONTÉM GLÚTEN.;Nestlé;‎Nesfit
Cup Noodles Sabor Legumes Nissin 67g;Pronto em 3 minutos. Curta até o fim o novo cup noodles legumes, agora com duas vezes mais ingredientes de cebolinha, cenoura, milho e o lançamento brócolis. Cup noodles é abriu, pirou;67 Grama;‎Farinha de trigo enriquecida com ferro e ácido fólico, gordura vegetal, sal, reguladores de acidez carbonato de potássio e carbonato de sódio, estabilizantes tripolifosfato de sódio, pirofosfato tetrassódico e fosfato de sódio monobásico e corante sintético idêntico ao natural betacaroteno. Pode Conter Traços de CRUSTÁCEOS, OVOS, PESCADOS, MOSTARDA e GERGELIM, e de Seus Derivados. Contém SOJA, LEITE e AIPO.;Nissin;Nissin
Macarrão Grano Duro Lasagne Barilla 250g;Produto importado da Itália. Trigo 100% grano duro. Massa curta, sempre al dente. Massa com baixo índice glicêmico. Feita apenas com água e trigo;250 Grama;SÊMOLA DE TRIGO DURO, água. Pode conter Ovo.;‎Barilla;‎Barilla
Molho Tradicional Heinz Sache 340G;Molho de tomate;340 Grama;‎Tomate, Cebola, Açúcar, Amido Modificado, Sal, Salsa, Alho, Extrato de Levedura, Manjericão, Orégano, Tomilho, Sálvia e Realçador de Sabor Glutamato Monossódico. Contém Glúten. Alérgicos. Contém Derivados de Cevada. Pode Conter Derivados de Leite, Soja e Trigo.;Kraft Heinz;HEINZ
Leite Condensado, Moça Lata, 395g;É um ingrediente clássico em receitas de sobremesas, mas puro também é delicioso. Obtido a partir de leite fresco, puro e integral. O produto não contém glúten;395 Grama;‎Leite integral, açúcar e lactose.;‎Nestlé;Moça
Creme de Leite Piracanjuba 200g;É leve, saudável e deixa tudo mais gostoso. Manter em local seco, fechar bem o compartimento após cada uso;200 Grama;	‎Creme de Leite Padronizado a 17% de Gordura, Leite em Pó Desnatado, Estabilizantes Celulose Microcristalina e Citrato de Sódio e Espessantes Carboximetilcelulose Sódica, Goma Xantana e Carragena. Alérgicos. Contém Leite e Derivados. Contém Lactose.;‎Laticinios Bela Vista Ltda;Piracanjuba
Farofa Mandioca Temperada Yoki 500g;Farinha de mandioca, óleos vegetais, alho, sal, colorífico (farinha de milho enriquecida com ferro e ácido fólico, óleo vegetal de soja e corante natural de urucum), cebola, pimenta vermelha, pimenta-do-reino preta, cebolinha verde, aromatizante e realçador de sabor glutamato monossódico.;500 Grama;Farofa mandioca. Farofa pronta. Para melhor conservação das características do produto, mantenha-o fechado após o uso;‎General Mills Brasil;YOKI
Azeite de Oliva Extra Virgem Cocinero Fr 500Ml;Azeite Argentino. Azeitonas selecionadas. Embalagem 100% reciclável com formato anatômico;500ml;‎Azeite;‎Cocinero;Cocinero
Biscoito Recheado, Chocolate, Passatempo, 130g;;Recheio de chocolate. Passatempo com casquinha branquinha.
;;130 Grama;‎Farinha de trigo enriquecida com ferro e ácido fólico, açúcar, gordura vegetal, óleo vegetal, cacau, minerais (carbonato de cálcio e sulfato de zinco), amido de milho resistente, amido, leite em pó integral, soro de leite, sal, farinha de aveia, farinha de centeio, fermentos químicos bicarbonato de amônio, bicarbonato de sódio e fosfato monocálcico, aromatizantes, emulsificante lecitina de soja, corantes naturais carmim e clorofilina cúprica e corante caramelo III.;‎Nestlé;‎Passatempo
Leite Condensado Piracanjuba 395g;Faça doces maravilhosos e conheça esse sabor irresistível.;‎395 Grama;‎Ingredientes. Leite Semidesnatado, Açúcar, Leite em Pó Desnatado e Lactose. Alérgicos. Contém Leite e Derivados. Contém Lactose.;‎Laticinios Bela Vista Ltda;Piracanjuba
Molho de Tomate Tradicional Sachê 340g;Tomates selecionados. Receita exclusiva;340 Grama;Tomate, cebola, açúcar, sal, amido modificado, salsa, alho, realçador de sabor glutamato monossódico e conservador sorbato de potássio. NÃO CONTÉM GLÚTEN.;Val Alimentos;‎Val Alimentos
Maionese Hellmann's Tradicional 500g;;Sabor e cremosidade incomparáveis. Feita com ovos caipiras e óleos de fazendas sustentáveis. Perfeito para sanduíches, wraps, hambúrgueres, preparar molhos e saladas;; não talha, faça pratos quentes deliciosos. Com Hellmann's você transforma seus lanches e refeições em deliciosos momentos;;500 Grama;ngredientes: água, óleo vegetal, ovo pasteurizado, amido modificado, vinagre, açúcar, sal, cloreto de potássio, suco de limão, conservador ácido sórbico, estabilizante goma xantana, acidulante ácido fosfórico, sequestrante EDTA cálcio dissódico, corante natural páprica, aroma natural e antioxidantes BHA, BHT e ácido cítrico. ALÉRGICOS: CONTÉM OVO E DERIVADOS DE SOJA. Não Contém Glúten;Unilever;Hellmanns
Maionese Quero 200g;Consistência perfeita. Qualidade quero. Querida;200 Grama;Água, óleo vegetal, amido modificado, açúcar invertido, vinagre, sal, gema de ovo, estabilizantes goma xantana e goma guar, acidulante ácido lático,conservador sorbato de potássio, aromatizantes, corantes naturais urucum e páprica, sequestrante E.D.T.A. cálcio dissódico e antioxidante TBHQ. NÃO CONTÉM GLÚTEN. ALÉRGICOS: CONTÉM OVOS E DERIVADOS DE SOJA.;Kraft Heinz;Quero
Feijão Preto Tipo 1 Namorado 1kg;Rico em proteína vegetal. Fonte de ferro. Textura macia e saborosa. Não contém glúten nem glutamato;1Kg;‎Feijão;‎Camil;Namorado
Feijão Preto 1kg - Caldo Bom;Rico em proteína vegetal. Fonte de ferro. Textura macia e saborosa. Não contém glúten nem glutamato;1Kg;‎Feijão;‎Caldo Bom;‎Caldo Bom
Leite Integral Ninho 1L;Rico em ferro, zinco e vitamina c. Contém vitaminas a, d e e. Fonte de cálcio;1Lt;‎Leite Integral, Minerais [Cálcio (Fosfato Tricálcico), Ferro (Pirofosfato Férrico), Zinco (Sulfato de Zinco), Vitaminas [Vitamina C (Ácido Ascórbico), Vitamina e (Acetato de Dl-Alfa-Tocoferila), Vitamina a (Acetato de Retinila) e Vitamina D (Colecalciferol)] e Estabilizantes Citrato de Sódio, Trifosfato de Sódio, Monofosfato de Sódio e Difosfato de Sódio. Alérgicos. Contém Leite. Contém Lactose. Não Contém Glutén.;‎Laticinios Bela Vista Ltda;‎Ninho
Cereal Matinal, Tradicional, Nescau, 770g;O cereal matinal que dá energia. O produto contem glúten;770 Grama;‎Farinha de milho enriquecida com ferro e ácido fólico (da qual 66% é farinha integral), açúcar, xarope de glicose, cacau em pó, oleína de palma, minerais (carbonato de cálcio, ferro eletrolítico, óxido de zinco) e vitaminas (pantotenato de cálcio, nicotinamida, riboflavina, cloridrato de piridoxina e ácido N-pteroil-L-glutâmico), sal, aromatizantes, antiumectante fosfato dicálcico, corante caramelo IV, estabilizante fosfato trissódico e antioxidante tocoferol.;Nestlé;Nescau
Ervilha e Milho Verde em Conserva Dueto Knorr Lata;Conversa com milho e ervilha. Produto em conserva;290 Grama;‎Ingredientes: Ervilha reidratada, milho em grãos, água e sal. Não contém glúten.;‎Unilever;Knorr
Conserva Ervilha Knorr 170g;As conservas Knorr são feitas com vegetais de verdade. Alimentos para vocês. Ingredientes simples que você conhece: apenas ervilha, água e sal. A ervilha em conserva Knorr é fonte de proteínas e fibras. Prático: as conservas Knorr já vêm prontas para consumo. Nossas conservas possuem embalagem 100% reciclável;290 Grama;NÃO CONTEM;‎Unilever;Knorr
Conserva Knorr Milho 170g;As conservas Knorr são feitas com vegetais de verdade. Alimentos para vocês. Ingredientes simples que você conhece: apenas milho, água e sal. O milho em conserva Knorr é fonte de fibras. Prático: nossa conserva já vem pronta para o consumo. As conservas Knorr possuem embalagem 100% reciclável;290 Grama;NÃO CONTEM;‎Unilever;Knorr
Ketchup Quero Tradicional 200G;Tomates selecionados. Sabor tradicional. Ideal para qualquer refeição;200 Grama;‎Tomate, açúcar, vinagre, sal, amido modificado, condimentos, acidulante ácido lático, conservador sorbato de potássio e aromatizante. CONTÉM GLÚTEN;‎Kraft Heinz;Quero
Arroz Tio João Polido Orgânico Branco 1kg;;1Kg;‎Arroz;Tio João;Tio João
Arroz Parbolizado TP1 Camil Pct 1kg;Fonte de energia. Possui vitaminas do complexo b. Rico em fibras. Não precisa lavar nem escolher;1Kg;‎Arroz;Camil;Camil
Arroz Oishii Mai Grão Curto Tipo 1 1kg;;1Kg;Arroz;‎Oishii Mai;‎Oishii Mai
Arroz Integral 1kg Urbano;;1Kg;‎Arroz Integral Parboilizado;‎Urbano;‎Urbano
Arroz 1Kg Agulhinha Tipo 1 Solito Longo fino;;1Kg;‎Arroz;‎Solito;‎Solito
Feijão Preto Orgânico Coopernatural 1kg;Feijão preto orgânico sem agrotóxicos ou aditivos químicos.;1Kg;Feijão;‎Coopernatural;‎Coopernatural
Feijão Vermelho Orgânico Coopernatural 1kg;Feijão orgânico vermelho sem agrotóxicos ou aditivos químicos;1Kg;Feijão;‎Coopernatural;‎Coopernatural
Feijão Azuki Orgânico Coopernatural 1kg;Alimento livre de irradiação.;1Kg;Feijão;‎Coopernatural;‎Coopernatural
Feijão Preto Orgânico Marfil 1Kg;Produto Orgânico e Livre de Transgênicos!;1Kg;Feijão;Marfil;Marfil
YoPRO Bebida Láctea UHT Chocolate 15g de proteínas 250ml;15 Gramas de Proteína. Whey e caseína. Fonte de cálcio. Zero lactose e zero adição de açúcares. Baixo teor de gordura. Conservar em local seco e arejado. Após aberto, consumir imediatamente.;250ml;Leite parcialmente desnatado, concentrado proteico de leite em pó, cacau hidratado, amido modificado, soro de leite em pó, estabilizantes celulose microcristalina, carboximetilcelulose, carragena, fosfato dipotássico e dissódico, aromatizantes e edulcorante artificial sucralose. Contém soro de leite e aromatizantes.;	‎Danone;YoPRO
Achocolatado em Pó, Nescau 2.0, 400g;Achocolatado. Uma combinação exclusiva de nutrientes. O produto contem glúten;400 Grama;Açúcar, cacau em pó, maltodextrina, minerais (carbonato de cálcio e pirofosfato férrico), vitaminas (L-ácido ascórbico, niacinamida,riboflavina, acetato de retinila, cloridrato de piridoxina, colecalciferol e cianocobalamina), emulsificante lecitina de soja e aromatizante.;Nestlé;Nescau
Achocolatado em Pó, Nescau, 3.0, 760g;Fonte de fibras. Tem 33% menos açucares. O produto contem glúten;760 Grama;Açúcar, fibra solúvel (polidextrose), cacau em pó, soro de leite, minerais cálcio e ferro (carbonato de cálcio e pirofosfato férrico), maltodextrina, flocos de cereais (farinha de trigo enriquecida com ferro e ácido fólico, farinha de trigo integral, farinha de cevada, açúcar, farinha de aveia, sal, mineral ferro (fumarato ferroso), vitaminas B1,B2 e B6 (tiamina mononitrato, riboflavina e cloridrato de piridoxina), regulador de acidez fosfato dipotássico, antiumectante carbonato de cálcio e antioxidante ácido ascórbico), vitaminas C, niacina, B2, A,B6 e B12(L- ácido ascórbico, nicotinamida, riboflavina, acetato de retinila, cloridrato de piridoxina, colecalciferol e cianocobalamina), emulsificante leticina de soja e aromatizante.;Nestlé;Nescau
Energético Red Bull Energy Drink Pack com 24 Latas de 250Ml;Embalagem com 24 latas de Red Bull Energy Drink de 250ml. Contém cafeína, taurina, vitaminas do grupo b, açúcares e água das fontes alpinas. Uma lata de 250 ml de Red Bull. Energy Drink contém 80 mg de cafeína, aproximadamente a mesma quantidade de uma xícara de café. A quantidade de açúcar no Red Bull é equivalente a quantidade de açúcar de 100ml de suco de maça ou laranja. As latas do Red Bull são feitas de alumínio 100% reciclável;6Lt;Água gaseificada, sacarose, glucose, taurina(1000mg/250ml), cafeína (80mg/250ml), vitaminas ( B3, B5, B6, B2, B12), acidulante ácido cítrico, reguladores de acidez: bicarbonato de sódio e bicarbonato de magnésio, aromatizantes, corante de caramelo I.;‎Red Bull;Red Bull
Nescafe Dolce Gusto, Espresso, 16 Cápsulas;Nescafé dolce gusto. Fabricante Dolce Gusto. Produto de alta qualidade. Fabricado com o maior cuidado e atenção para os detalhes;16 Unidade;Café torrado moído.;‎Nestlé;‎Dolce Gusto
Achocolatado Em Pó, Nescau, 3.0, 380g;Fonte de fibras. Tem 33% menos açucares. O produto contem glúten;380 Grama;Açúcar, fibra solúvel (polidextrose), cacau em pó, soro de leite, minerais cálcio e ferro (carbonato de cálcio e pirofosfato férrico), maltodextrina, flocos de cereais (farinha de trigo enriquecida com ferro e ácido fólico, farinha de trigo integral, farinha de cevada, açúcar, farinha de aveia, sal, mineral ferro (fumarato ferroso), vitaminas B1,B2 e B6 (tiamina mononitrato, riboflavina e cloridrato de piridoxina), regulador de acidez fosfato dipotássico, antiumectante carbonato de cálcio e antioxidante ácido ascórbico), vitaminas C, niacina, B2, A,B6 e B12(L- ácido ascórbico, nicotinamida, riboflavina, acetato de retinila, cloridrato de piridoxina, colecalciferol e cianocobalamina), emulsificante leticina de soja e aromatizante.;Nestlé;Nescau
Bebida Vegetal Silk Coco Sem Açúcar 1L;100% Vegetal. Sem adição de açúcares. Sem lactose, glúten e colesterol. 40% do cálcio recomendado por dia. Vitaminas B2, B12 e D. Rico em zinco. Conservar em local seco e arejado. Após aberto, conservar em geladeira (de 1°C a 10°C), devidamente tampado, e consumir em até 7 dias.;1Lt;‎Leite de coco reconstituído, minerais (cálcio e zinco), sal marinho, vitaminas (B2, D2 e B12), aromas naturais, emulsificante lecitina de girassol, estabilizantes gomas alfarroba e gelana e antioxidante ascorbato de sódio.;‎Danone;‎Silk
Cápsulas de Café Lungo 8 Pilão com 10 Cápsulas;Intensidade 8. Contém 10 cápsulas. Tipo lungo. COMPATÍVEL COM MÁQUINAS DE CAFÉ NESPRESSO. Marca de um terceiro, não relacionado à Jacobs Douwe Egberts BR. Comercialização de Cafés Ltda. Todos os blends da l'or são feitos de café cultivado de acordo com métodos de produção sustentáveis ​​e são 100% certificados pela utz;10 Unidade;Café;‎JDE;PILÃO
Nescafe Dolce Gusto, Caffe Matinal, 16 Cápsulas;Nescafé dolce gusto. Fabricante Dolce Gusto. Produto de alta qualidade. Fabricado com o maior cuidado e atenção para os detalhes;16 Unidade;Café torrado moído.;Nestlé;Dolce Gusto
Água de Coco Kero Coco 1L;Rico em Vitaminas. Baixa Caloria. Não contém colesterol. Informação alérgica: sem glúten;1Lt;Água de coco;‎Pepsico;Kero Coco
Energético Monster Lata 473ml;Energético a base de taurina. Pronta para beber. Energético;473ml;Taurina: Glucoronolactona:-Inositol: Complexo de vitaminas B: Niacina, Pantenol, Vitamina B6, Vitamina B12 e vitamina B2, Cafeína.;Monster;Monster
Pipoca Premium Yoki 500g;Milho para pipoca. Pacote com 500g. Premium;500 Grama;‎Milho de pipoca;General Mills Brasil;Yoki
Pipoca Super Premium Yoki 650g;Milho para pipoca. Pote especial. Super premium;650 Grama;‎Milho de pipoca;General Mills Brasil;Yoki
Amendoim Descascado Salgado Yoki 500g;Yoki - viva suas raizes. Amendoim descascado e salgado. Nos mais variados tamanhos. Informação alérgica: sem glúten;500 Grama;‎Amendoim, sal, gordura vegetal e realçador de sabor glutamato monossódico.;General Mills Brasil;Yoki
Achocolatado Toddynho 200ml;Vitaminas a, c e d. Fonte de ácido fólico. Fonte de cálcio;200ml;CONTÉM LEITE E DERIVADOS, PODE CONTER TRIGO, AVEIA E CENTEIO. CONTÉM LACTOSE.;Pepsico;‎Toddynho
Popmicro Toque Chef Yoki 100g;Toque de Chefe. 25% menos sódio comparado com uma média de alimentos de referência do mercado. Microondas;100 Grama;Milho de pipoca, gordura vegetal e sal e tempero (cebola, alho, alecrim, cúrcuma, pimenta-do-reino branca, aipo, realçadores de sabor glutamato monossódico e inosinato de sódio, acidulante ácido cítrico, antiumectante dióxido de silício e aromatizante).;General Mills Brasil;Yoki
Bala Mastigável Mentos Rainbow | 37,5g - 14 unidades;Muito mais sabor. Portátil, fácil de levar em qualquer lugar. Sabor Frutas (Morango, Uva, Abacaxi, Melância, Cereja, Maçã Verde e Limão). Contém 14 unidades;37 Grama;Açúcar, xarope de glicose, gordura vegetal, fécula de mandioca, acidulante: ácido cítrico e ácido málico, aromatizantes, gelificantes: goma arábica, goma gelana, carboximetilcelulose, maltodextrina e amido de milho, emulsificante: ésteres graxos de sacarose, corantes naturais: cúrcuma, carmim, clorofila, vermelho de beterraba, beta caroteno, urucum e antocianina, glaceante: cera de carnaúba.;‎Perfetti Van Melle Brasil LTDA;Mentos
Popcorn Micro Manteiga Yoki 50g;Manteiga. 25% menos sódio comparado com uma média de alimentos de referência do mercado. Micro-ondas. Informação alérgica: sem glúten;50 Grama;Milho de pipoca e gordura vegetal, sal, preparado sabor manteiga (óleo vegetal de soja, gordura vegetal hidrogenada, aromatizante, regulador de acidez ácido acético, corantes naturais cúrcuma e urucum e antioxidante BHT).;General Mills Brasil;Yoki
Bombom Lacta Ouro Branco 1kg;Saboroso. Bombom lacta. Irresistível;1Kg;‎Açucar, gordura vegetal hidrogenada, gordura vegetal, farinha de trigo enriquecida com erro, ácido fólico, vitaminas B1, BE, B3 e zinco.;Mondelez;‎Lacta
